"","Dist","method","AD_p.v","KS_p.v","Chs_p.v","estimate1","estimate2","estimateLL1","estimateLL2"
"AD","exp","mle",5.99999999795209e-07,0,0,0.665837905516676,NA,0,1
"AD1","exp","mme",5.99999999795209e-07,0,0,0.665837902625905,NA,0,1
"AD2","exp","mge",5.99999999795209e-07,0,0,0.597335700512525,NA,0,1
"AD3","gamma","mle",5.99999999795209e-07,0,0,0.685710734454732,0.456554595500647,0,1
"AD4","gamma","mme",5.99999999795209e-07,0,0,1.26911924054288,0.845027693305252,0,1
"AD5","gamma","mge",5.99999999795209e-07,0,0,0.519544136238613,0.266767169006118,0,1
"AD6","gamma","mlg2",5.99999999795209e-07,0,0,0.685768357226051,0.456611154371349,0,1
"AD7","lnorm","mle",5.99999999795209e-07,0,0,-0.477098759340653,1.72409126664015,0,1
"AD8","lnorm","mme",5.99999999795209e-07,0,0,0.116174723544159,0.762278563219774,0,1
"AD9","lnorm","mge",5.99999999795209e-07,0,0,-0.304810199314758,1.91291536636403,0,1
"AD10","weibull","mle",5.99999999795209e-07,0,0,0.802412551313534,1.35578762636516,0,1
"AD11","weibull","mge",5.99999999795209e-07,0,0,0.631946560553222,1.5456878997394,0,1
"AD12","weibull","mlg2",5.99999999795209e-07,0,0,0.802385603896093,1.35589764443927,0,1
"AD13","norm","mle",5.99999999795209e-07,0,0,1.50186704009525,1.33315385316933,0,1
"AD14","norm","mme",5.99999999795209e-07,0,0,1.50186704009525,1.33315385316933,0,1
"AD15","norm","mge",5.99999999795209e-07,0,0,1.46888296991012,1.7211745899298,0,1
"AD16","cauchy","mle",5.99999999795209e-07,0,0,0.914929742300194,1.03946676458952,0,1
"AD17","cauchy","mge",5.99999999795209e-07,0,0,1.44336388190333,1.15131205605743,0,1
"AD18","cauchy","mlg2",5.99999999795209e-07,0,0,0.914417859062837,1.03918855902677,0,1
"AD19","beta","mme",5.99999999795209e-07,2.33487218448403e-09,0,0.484307254547382,0.915965586895013,0,4.3423335247544
"AD20","beta","mge",5.99999999795209e-07,7.51126271181235e-08,0,0.412491962863549,0.768721674493386,0,4.3423335247544
