"","Dist","method","AD_p.v","KS_p.v","Chs_p.v","estimate1","estimate2","estimateLL1","estimateLL2"
"AD","exp","mle",0.473689896042786,0.295407496366051,0,3.47597434485842,NA,0,1
"AD1","exp","mme",0.473689825030654,0.295407407755746,0,3.47597431228549,NA,0,1
"AD2","exp","mge",0.546467915271189,0.811621067955021,0,3.62214887328545,NA,0,1
"AD3","gamma","mle",0.458421841556052,0.287457644429241,0,1.00793789279555,3.50358688080102,0,1
"AD4","gamma","mme",0.228224594880347,0.423893768956908,0,0.900176419014327,3.12899010901894,0,1
"AD5","gamma","mge",0.529837394793263,0.879320370838318,0,1.02417566672121,3.73893796956876,0,1
"AD6","gamma","mlg2",0.458253026988134,0.287388304298473,0,1.00801560620237,3.50385989344283,0,1
"AD7","lnorm","mle",0.017222171435872,0.0552659675028822,0,-1.81795688508763,1.2287509088636,0,1
"AD8","lnorm","mme",1.16959064289102e-06,1.80898115008654e-05,0,-1.61943044121197,0.864355972800058,0,1
"AD9","lnorm","mge",0.038105434996436,0.535218383703869,0,-1.71681441272786,1.13983484607233,0,1
"AD10","weibull","mle",0.51575841050263,0.336174936882723,0,0.987489718761843,0.28607547115729,0,1
"AD11","weibull","mge",0.516229073552185,0.8584188514222,0,1.01076607940895,0.275450187667542,0,1
"AD12","weibull","mlg2",0.515886604363438,0.33641285415765,0,0.987455821867489,0.286067621412537,0,1
"AD13","norm","mle",1.16959064289102e-06,1.34336985979644e-13,0,0.287689122576539,0.303221244370286,0,1
"AD14","norm","mme",1.16959064289102e-06,1.34336985979644e-13,0,0.287689122576539,0.303221244370286,0,1
"AD15","norm","mge",1.16959064289102e-06,7.45742034791164e-09,0,0.216870227212698,0.197552158302049,0,1
"AD16","cauchy","mle",1.16959064289102e-06,0,0,0.159655958510587,0.113748876469899,0,1
"AD17","cauchy","mge",1.16959122820059e-06,2.55573340268711e-13,0,0.207909368797296,0.122981525942112,0,1
"AD18","cauchy","mlg2",1.16959064289102e-06,0,0,0.159656534423269,0.113753443324559,0,1
"AD19","t","mlg2",1.16959064289102e-06,0,0,1.97332890921301,NA,0,1
"AD20","beta","mme",1.16959064289102e-06,4.35638268747596e-06,0,0.544155441199522,2.36014346835387,0,1.53547156148541
"AD21","beta","mge",1.16959064289102e-06,0.31431654400736,0,0.910590807860594,4.50076985325056,0,1.53547156148541
